,יום מכירה,כתובת,גוש חלקה - תת חלקה,סוג נכס,חדרים,קומה,"מ""ר",סכום,מגמת שינוי
0,17.04.2022,לילינבלום 4,3945-210-5,דירה בבית קומות,3,שלישית,71.57,"2,050,000",46% ב 5.9 שנים
1,05.05.2016,לילינבלום 4,3945-210-5,דירה בבית קומות,3,שלישית,71.57,"1,400,000",46% ב 5.9 שנים
2,13.04.2022,קלאוזנר יוסף 11,4241-335-9,דירה בבית קומות,3,שלישית,66.07,"1,830,000",79% ב 5.8 שנים
3,22.06.2016,קלאוזנר יוסף 11,4241-335-9,דירה בבית קומות,3,שלישית,66.07,"1,020,000",79% ב 5.8 שנים
4,07.07.2000,קלאוזנר יוסף 11,4241-335-9,דירה בבית קומות,3,שלישית,66.07,"93,000",79% ב 5.8 שנים
5,13.04.2022,יהודה הלוי 53,3929-785-16,דירה בבית קומות,3,רביעית,48.40,"1,390,000",107% ב 10.1 שנים
6,26.02.2012,יהודה הלוי 53,3929-785-16,דירה בבית קומות,3,רביעית,48.40,"670,000",107% ב 10.1 שנים
7,13.04.2022,ירושלים 64,3930-338-30,דירה בבית קומות,3,שניה,60.60,"1,630,000",38% ב 1.7 שנים
8,24.07.2020,ירושלים 64,3930-338-30,דירה בבית קומות,3,שניה,60.60,"1,175,000",38% ב 1.7 שנים
9,13.04.2022,"רמב""ם 37",3930-617-2,דירה בבית קומות,3,ראשונה,63.40,"1,990,000",31% ב 4.4 שנים
10,28.11.2017,"רמב""ם 37",3930-617-2,דירה בבית קומות,3,ראשונה,63.40,"1,510,000",31% ב 4.4 שנים
11,11.11.2013,"רמב""ם 37",3930-617-2,דירה בבית קומות,3,ראשונה,63.40,"1,220,000",31% ב 4.4 שנים
12,13.04.2022, ,3928-645-11,דירה בבית קומות,3,שניה,71.79,"1,800,000",35% ב 3 שנים
13,10.03.2019, ,3928-645-11,דירה בבית קומות,3,שניה,71.79,"1,330,000",35% ב 3 שנים
14,11.04.2022,שרירא שמואל 8,6286-141-24,דירה בבית קומות,3,שניה,63.12,"1,900,000",-8% ב 1 שנים
15,19.04.2021,שרירא שמואל 8,6286-141-24,דירה בבית קומות,3,שניה,63.12,"2,070,000",-8% ב 1 שנים
16,18.04.2021,שרירא שמואל 8,6286-141-24,דירה בבית קומות,3,שניה,63.12,"1,845,000",-8% ב 1 שנים
17,08.04.2022,אלרואי 15,3929-792-16,דירה בבית קומות,3,רביעית,48.40,"1,430,000",NaN
18,07.04.2022,קרן היסוד 29,3928-701-11,דירה בבית קומות,3,שניה,59,"1,700,000",41% ב 6.1 שנים
19,19.02.2016,קרן היסוד 29,3928-701-11,דירה בבית קומות,3,שניה,59,"1,200,000",41% ב 6.1 שנים
20,13.04.2010,קרן היסוד 29,3928-701-11,דירה בבית קומות,3,שניה,59,"905,000",41% ב 6.1 שנים
21,17.08.2008,קרן היסוד 29,3928-701-11,דירה בבית קומות,3,שניה,59,"680,000",41% ב 6.1 שנים
22,07.04.2022,הרב נריה 14,5116-85-24,דירה בבית קומות,3,שישית,67.26,"2,300,000",NaN
23,06.04.2022,האחים סמילצ'נסקי 13,3926-408-3,דירה בבית קומות,3,ראשונה,80,"2,350,000",NaN
24,04.04.2022,קרל נטר 28,3928-704-19,דירה בבית קומות,3,רביעית,57,"725,000",183% ב 21.9 שנים
25,04.05.2000,קרל נטר 28,3928-704-19,דירה בבית קומות,3,רביעית,57,"512,000",183% ב 21.9 שנים
26,03.04.2022,מבצע משה 38,5748-5-45,דירה בבית קומות,3,שתים עשרה,91.50,"2,400,000",NaN
27,01.04.2022,שפינוזה 23,3928-614-6,דירה בבית קומות,3,שניה,60,"1,632,000",NaN
28,28.03.2022,קרל נטר 18,3928-631-24,דירה בבית קומות,3,רביעית,76.50,"1,700,000",8% ב 5.3 שנים
29,11.11.2016,קרל נטר 18,3928-631-24,דירה בבית קומות,3,רביעית,76.50,"1,570,000",8% ב 5.3 שנים
30,10.04.2013,קרל נטר 18,3928-631-24,דירה בבית קומות,3,רביעית,76.50,"1,140,000",8% ב 5.3 שנים
31,12.04.2007,קרל נטר 18,3928-631-24,דירה בבית קומות,3,רביעית,76.50,"656,000",8% ב 5.3 שנים
32,28.03.2022,קורצ'ק יאנוש 12,7282-308-15,דירה בבית קומות,3,רביעית,64,"1,580,000",NaN
33,27.03.2022,אריאב חיים 6,7281-12-31,דירה בבית קומות,3,רביעית,39.60,"466,000",NaN
34,24.03.2022,הברון הירש 18,3928-501-16,דירה בבית קומות,3,שלישית,70,"1,730,000",234% ב 18.2 שנים
35,15.12.2003,הברון הירש 18,3928-501-16,דירה בבית קומות,3,שלישית,70,"517,000",234% ב 18.2 שנים
36,24.03.2022,החלמונית 4,5036-5-48,דירה בבית קומות,3,רביעית,60.90,"1,700,000",32% ב 5.3 שנים
37,27.11.2016,החלמונית 4,5036-5-48,דירה בבית קומות,3,רביעית,60.90,"1,280,000",32% ב 5.3 שנים
38,13.05.2009,החלמונית 4,5036-5-48,דירה בבית קומות,3,רביעית,60.90,"760,000",32% ב 5.3 שנים
39,27.04.1999,החלמונית 4,5036-5-48,דירה בבית קומות,3,רביעית,60.90,"553,000",32% ב 5.3 שנים
40,23.03.2022,התומר 25,3926-117-6,דירה בבית קומות,3,שניה,64.01,"1,850,000",46% ב 4.9 שנים
41,06.04.2017,התומר 25,3926-117-6,דירה בבית קומות,3,שניה,64.01,"1,265,000",46% ב 4.9 שנים
42,08.03.2015,התומר 25,3926-117-6,דירה בבית קומות,3,שניה,64.01,"1,065,000",46% ב 4.9 שנים
43,06.08.2002,התומר 25,3926-117-6,דירה בבית קומות,3,שניה,64.01,"613,000",46% ב 4.9 שנים
44,04.12.1998,התומר 25,3926-117-6,דירה בבית קומות,3,שניה,64.01,"560,000",46% ב 4.9 שנים
45,22.03.2022,"עגנון ש""י 2",6095-136-20,דירה בבית קומות,3,שלישית,39,"446,666",NaN
46,22.03.2022,"עגנון ש""י 22",6095-134-10,דירה בבית קומות,3,ראשונה,39.50,"1,300,000",91% ב 10.9 שנים
47,13.04.2011,"עגנון ש""י 22",6095-134-10,דירה בבית קומות,3,ראשונה,39.50,"680,000",91% ב 10.9 שנים
48,22.03.2022,שוחט מניה 10,3926-721-9,דירה בבית קומות,3,שניה,57.86,"1,868,000",112% ב 11.3 שנים
49,18.11.2010,שוחט מניה 10,3926-721-9,דירה בבית קומות,3,שניה,57.86,"880,000",112% ב 11.3 שנים
50,22.03.2022,מורדי הגטאות 47,4242-469-30,דירה בבית קומות,3,ראשונה,50.60,"1,450,000",NaN
51,22.03.2022,שרירא שמואל 1,6286-144-28,דירה בבית קומות,3,שלישית,70.95,"1,500,000",NaN
52,21.03.2022,יהודה לייב 48,3929-727-6,דירה בבית קומות,3,שניה,52.73,"1,550,000",205% ב 22.2 שנים
53,01.12.1999,יהודה לייב 48,3929-727-6,דירה בבית קומות,3,שניה,52.73,"507,000",205% ב 22.2 שנים
54,21.03.2022,יהודה הלוי 16,3932-345-5,דירה בבית קומות,3,שניה,70,"1,920,000",NaN
55,17.03.2022,מבצע משה 50,5748-13-30,דירה בבית קומות,3,שמינית,86.65,"2,325,000",77% ב 9 שנים
56,20.03.2013,מבצע משה 50,5748-13-30,דירה בבית קומות,3,שמינית,86.65,"1,310,000",77% ב 9 שנים
57,16.03.2022,הצופים 6,3939-439-3,דירה בבית קומות,3,ראשונה,78.69,"1,980,000",70% ב 10.7 שנים
58,01.06.2011,הצופים 6,3939-439-3,דירה בבית קומות,3,ראשונה,78.69,"1,160,000",70% ב 10.7 שנים
59,23.10.2001,הצופים 6,3939-439-3,דירה בבית קומות,3,ראשונה,78.69,"580,000",70% ב 10.7 שנים
60,16.03.2022,הפרדס הראשון 4,3945-63-5,דירה בבית קומות,3,שלישית,59.80,"1,830,000",-6% ב 23.3 שנים
61,10.11.1998,הפרדס הראשון 4,3945-63-5,דירה בבית קומות,3,שלישית,59.80,"1,964,000",-6% ב 23.3 שנים
62,15.03.2022,השדה 6,3926-146-14,דירה בבית קומות,3,שניה,58,"1,450,000",NaN
63,15.03.2022,מבצע יואב 4,5748-8-9,דירה בבית קומות,3,שלישית,72.20,"2,270,000",NaN
64,14.03.2022,אלרואי 13,3929-791-10,דירה בבית קומות,3,שלישית,48.40,"1,450,000",107% ב 11.3 שנים
65,18.11.2010,אלרואי 13,3929-791-10,דירה בבית קומות,3,שלישית,48.40,"700,000",107% ב 11.3 שנים
66,13.03.2022,הסחלב 3,5036-90-2,דירה בבית קומות,3,ראשונה,57,"1,620,000",51% ב 7.5 שנים
67,29.09.2014,הסחלב 3,5036-90-2,דירה בבית קומות,3,ראשונה,57,"1,070,000",51% ב 7.5 שנים
68,13.04.2007,הסחלב 3,5036-90-2,דירה בבית קומות,3,ראשונה,57,"528,000",51% ב 7.5 שנים
69,13.03.2022,הקלרנית 3,5183-34-33,דירה בבית קומות,3,ראשונה,64.27,"1,925,000",171% ב 15.1 שנים
70,07.01.2007,הקלרנית 3,5183-34-33,דירה בבית קומות,3,ראשונה,64.27,"709,000",171% ב 15.1 שנים
71,13.03.2022,אחד העם 17,3932-214-6,דירה בבית קומות,3,ראשונה,55.70,"1,500,000",NaN
72,13.03.2022,קרל נטר 18,3928-631-29,דירה בבית קומות,3,ראשונה,76,"1,620,000",NaN
73,10.03.2022,"עגנון ש""י 11",7281-88-29,דירה בבית קומות,3,רביעית,42,"2,950,000",33% ב 1 שנים
74,07.02.2021,"עגנון ש""י 11",7281-88-29,דירה בבית קומות,3,רביעית,42,"2,210,000",33% ב 1 שנים
75,13.12.2015,"עגנון ש""י 11",7281-88-29,דירה בבית קומות,3,רביעית,42,"1,220,000",33% ב 1 שנים
76,10.03.2022,התזמורת 56,5183-35-15,דירה בבית קומות,3,רביעית,73,"1,969,000",NaN
77,09.03.2022,הרצל 74,3934-65-10,דירה בבית קומות,3,קרקע,59,"1,450,000",NaN
78,08.03.2022,התזמורת 36,5183-41-3,דירה בבית קומות,3,ראשונה,73.19,"2,270,000",33% ב 5.3 שנים
79,20.11.2016,התזמורת 36,5183-41-3,דירה בבית קומות,3,ראשונה,73.19,"1,700,000",33% ב 5.3 שנים
